"Buy Now","Bli Tani"
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Kjo fushe duhet të ketë %1 karaktere të ndryshme. Karakteret duhet të jene: Shkronjë e madhe, Shkronjë e vogël, Numër, Karakter Special"
No Password,Nuk ka Fjalëkalim
"No Password","Nuk ka Fjalëkalim"
Read more,MË SHUMË
"Are you sure you would like to remove this item from the shopping cart?","Je i/e sigurt që do ta heqësh nga shporta?"
"Please enter a valid email address (Ex: johndoe@domain.com).","Ju lutem, shkruani një adresë të vlefshme emaili (P.sh.: emri@domain.com ).",module,Magento_Ui
"Payment Method:","Mënyra e pageses:"
"Payment Method","Mënyra e pageses"
Read  More,Lexo më shumë
"Estimated Total","Vlera"
Checkout,Përfundo porosinë
"Not yet calculated","S'ËSHTË PËRLLOGARITUR ENDE"
"Coupon code is not valid","Kodi i kuponit nuk është i vlefshëm"
Coupon code is not valid,Kodi i kuponit nuk është i vlefshëm
"Continue Shopping","Vazhdo blerjen"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Nëse keni pyetje në lidhje me porosinë tuaj, mund të na dërgoni e-mail në: <a href=""mailto:%store_email"">%store_email</a>"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Mund të kontrolloni statusin e porosise duke <a href=""%account_url"">u loguar ne llogarine tuaj</a>."
"Once your package ships we will send you a tracking number.","Sapo porosia juaj të niset, do t’ju dërgojmë kodin e dërgesës."
"Your %store_name order confirmation","Konfirmimi porosisë në %store_name "
"Sorry, no quotes are available for this order at this time","Na falni. Çmimi për këtë porosi, për momentin nuk është i vlefshëm"
"Your order number is: ","Numri porosesë suaj është: "
"Your order number is: %1.","Numri porosesë suaj është: %1."
